epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1909.54,1.04477,1.19173,1.53722,0.89286,0.86322,0.93508,0.75005,0.67634,0.80066,1.18315,0.000192,0.000192,0.000192
2,3717.24,1.02509,1.09677,1.50822,0.88777,0.87699,0.95252,0.75961,0.71853,0.74947,1.218,0.000362392,0.000362392,0.000362392
3,5489.41,1.0689,1.17868,1.53943,0.83814,0.79726,0.86661,0.67467,0.75584,0.97082,1.26804,0.000506912,0.000506912,0.000506912
4,7254.96,1.05283,1.16676,1.53867,0.91205,0.87197,0.94898,0.74441,0.7187,0.76718,1.21672,0.000471576,0.000471576,0.000471576
5,9001.16,1.02163,1.09547,1.50748,0.8953,0.88907,0.94576,0.76173,0.69542,0.73835,1.20223,0.000432768,0.000432768,0.000432768
6,10728.1,0.8059,0.91667,1.30705,0.89561,0.89825,0.95317,0.75134,0.72184,0.7457,1.22755,0.00039396,0.00039396,0.00039396
7,12495.8,0.77335,0.86119,1.29567,0.89414,0.88614,0.95615,0.77028,0.68367,0.719,1.18291,0.000355152,0.000355152,0.000355152
8,14238.2,0.74999,0.7631,1.23965,0.89911,0.91547,0.96477,0.7893,0.64428,0.65463,1.13212,0.000316344,0.000316344,0.000316344
9,15977.1,0.7277,0.7411,1.2376,0.91405,0.88711,0.96482,0.78392,0.65137,0.60625,1.14125,0.000277536,0.000277536,0.000277536
10,17723.1,0.71178,0.69611,1.22277,0.93496,0.93402,0.97788,0.80394,0.61953,0.55676,1.10961,0.000238728,0.000238728,0.000238728
11,19467.3,0.70399,0.69184,1.20793,0.91891,0.90527,0.96854,0.78523,0.65474,0.61619,1.15607,0.00019992,0.00019992,0.00019992
12,21216.9,0.69346,0.64035,1.20886,0.94642,0.95129,0.98369,0.82908,0.58932,0.50334,1.08492,0.000161112,0.000161112,0.000161112
13,22972.7,0.67109,0.61164,1.17332,0.95537,0.96748,0.98712,0.82692,0.58498,0.48358,1.08669,0.000122304,0.000122304,0.000122304
14,24704.3,0.66281,0.63406,1.17297,0.9608,0.95499,0.98692,0.83852,0.56069,0.4738,1.06161,8.3496e-05,8.3496e-05,8.3496e-05
15,26440.7,0.66746,0.58659,1.18275,0.96393,0.97538,0.98961,0.84641,0.54136,0.44149,1.04844,4.4688e-05,4.4688e-05,4.4688e-05
